"day" "pH" "species" "conc"
1 "high" "spec1" 18
1 "high" "spec1" 21.9
1 "high" "spec1" 15
1 "high" "spec1" 14.5
1 "high" "spec1" 16.6
1 "high" "spec1" 13.9
1 "low" "spec1" 14.6
1 "low" "spec1" 17.7
1 "low" "spec1" 15.7
1 "low" "spec1" 16.8
1 "low" "spec1" 18.3
1 "low" "spec1" 16
1 "high" "spec2" 21.5
1 "high" "spec2" 15
1 "high" "spec2" 11.5
1 "high" "spec2" 16
1 "high" "spec2" 13
1 "high" "spec2" 13.2
1 "low" "spec2" 20.7
1 "low" "spec2" 15.3
1 "low" "spec2" 19.9
1 "low" "spec2" 17.6
1 "low" "spec2" 15.8
1 "low" "spec2" 22.7
2 "high" "spec1" 41.2
2 "high" "spec1" 23.1
2 "high" "spec1" 36.2
2 "high" "spec1" 31
2 "high" "spec1" 47.4
2 "high" "spec1" 30.4
2 "low" "spec1" 30.8
2 "low" "spec1" 31.5
2 "low" "spec1" 30
2 "low" "spec1" 25.6
2 "low" "spec1" 43.9
2 "low" "spec1" 26.8
2 "high" "spec2" 34.7
2 "high" "spec2" 23.9
2 "high" "spec2" 20.9
2 "high" "spec2" 34.1
2 "high" "spec2" 31.9
2 "high" "spec2" 35.8
2 "low" "spec2" 58.3
2 "low" "spec2" 43.3
2 "low" "spec2" 35.6
2 "low" "spec2" 24.1
2 "low" "spec2" 37.9
2 "low" "spec2" 41.7
3 "high" "spec1" 102.9
3 "high" "spec1" 101.5
3 "high" "spec1" 86.4
3 "high" "spec1" 94.2
3 "high" "spec1" 117.5
3 "high" "spec1" 131.3
3 "low" "spec1" 126
3 "low" "spec1" 93
3 "low" "spec1" 114
3 "low" "spec1" 124.8
3 "low" "spec1" 96.2
3 "low" "spec1" 109.1
3 "high" "spec2" 9
3 "high" "spec2" 21.2
3 "high" "spec2" 68.5
3 "high" "spec2" 74.4
3 "high" "spec2" 63.6
3 "high" "spec2" 66.9
3 "low" "spec2" 45
3 "low" "spec2" 20.9
3 "low" "spec2" 124
3 "low" "spec2" 95.8
3 "low" "spec2" 35
3 "low" "spec2" 96.6
4 "high" "spec1" 595.5
4 "high" "spec1" 597.3
4 "high" "spec1" 527.4
4 "high" "spec1" 523.7
4 "high" "spec1" 569.3
4 "high" "spec1" 538.8
4 "low" "spec1" 209
4 "low" "spec1" 152.7
4 "low" "spec1" 239.8
4 "low" "spec1" 223.9
4 "low" "spec1" 194.7
4 "low" "spec1" 290.4
4 "high" "spec2" 181.4
4 "high" "spec2" 4.3
4 "high" "spec2" 164.1
4 "high" "spec2" 28.7
4 "high" "spec2" 273.8
4 "high" "spec2" 159.3
4 "low" "spec2" 216.5
4 "low" "spec2" 336.4
4 "low" "spec2" 156.3
4 "low" "spec2" 149.6
4 "low" "spec2" 204.8
4 "low" "spec2" 195
5 "high" "spec1" 1422.7
5 "high" "spec1" 1665.1
5 "high" "spec1" 1469.1
5 "high" "spec1" 1465.6
5 "high" "spec1" 1492.4
5 "high" "spec1" 1441.7
5 "low" "spec1" 842.2
5 "low" "spec1" 759.3
5 "low" "spec1" 550.5
5 "low" "spec1" 589.7
5 "low" "spec1" 553.7
5 "low" "spec1" 836.6
5 "high" "spec2" 21.2
5 "high" "spec2" 170.9
5 "high" "spec2" 373.3
5 "high" "spec2" 376.4
5 "high" "spec2" 212.4
5 "high" "spec2" 174.3
5 "low" "spec2" 966
5 "low" "spec2" 447.4
5 "low" "spec2" 796.1
5 "low" "spec2" 768.9
5 "low" "spec2" 800
5 "low" "spec2" 455
6 "high" "spec1" 4621
6 "high" "spec1" 4030.4
6 "high" "spec1" 3783.3
6 "high" "spec1" 3568.5
6 "high" "spec1" 3950.6
6 "high" "spec1" 4128.7
6 "low" "spec1" 1366
6 "low" "spec1" 1920.5
6 "low" "spec1" 2313.3
6 "low" "spec1" 1476.4
6 "low" "spec1" 2448.5
6 "low" "spec1" 2583.4
6 "high" "spec2" 369.7
6 "high" "spec2" 1375
6 "high" "spec2" 1024.2
6 "high" "spec2" 953.4
6 "high" "spec2" 560.2
6 "high" "spec2" 435.1
6 "low" "spec2" 585.9
6 "low" "spec2" 2258.9
6 "low" "spec2" 127.7
6 "low" "spec2" 1037.1
6 "low" "spec2" 661.4
6 "low" "spec2" 2065
