species	bodywt_kg	brainwt_kg	ratio_body_brain
MountainBeaver	1.4	0.0081	172.8395061728395
Cow	465	0.423	1099.290780141844
GreyWolf	36.3	0.1195	303.765690376569
Goat	27.7	0.115	240.86956521739128
GuineaPig	1	0.0055	181.81818181818184
Diplodocus	11700	0.05	234000
AsianElephant	2547	4.603	553.3347816641322
Donkey	187.1	0.419	446.53937947494035
Horse	521	0.655	795.4198473282443
PotarMonkey	10	0.115	86.95652173913044
Cat	3.3	0.0256	128.90625
Giraffe	529	0.68	777.9411764705882
Gorilla	207	0.406	509.85221674876846
Human	62	1.32	46.96969696969697
AfricanElephant	6654	5.712	1164.9159663865546
Triceratops	9400	0.07	134285.71428571426
RhesusMonkey	6.8	0.179	37.98882681564246
Kangaroo	35	0.056	625
GoldenHamster	0.1	0.001	100
Mouse	0.02	4e-4	50
Rabbit	2.5	0.0121	206.61157024793388
Sheep	55.5	0.175	317.14285714285717
Jaguar	100	0.157	636.9426751592357
Chimpanzee	52.2	0.44	118.63636363636364
Rat	0.3	0.0019	157.89473684210526
Brachiosaurus	87000	0.1545	563106.7961165048
Mole	0.1	0.003	33.333333333333336
Pig	192	0.18	1066.6666666666667
