sampledate,year,ave_air_temp_adjusted
1870-06-05,1870,20
1870-06-06,1870,18.3
1870-06-07,1870,17.5
1870-06-09,1870,13.3
1870-06-10,1870,13.9
1870-06-11,1870,15
1870-06-12,1870,14.4
1870-06-13,1870,13.9
1870-06-14,1870,17.5
1870-06-15,1870,18.3
1870-06-16,1870,21.1
1870-06-17,1870,22.8
1870-06-18,1870,25.3
1870-06-19,1870,27.5
1870-06-21,1870,20.3
1870-06-22,1870,23.1
1870-06-23,1870,27.5
1870-06-24,1870,29.4
1870-06-25,1870,30.6
1870-06-26,1870,30.3
1870-06-27,1870,26.9
1870-06-28,1870,29.7
1870-06-29,1870,30.6
1870-06-30,1870,30.3
1870-07-01,1870,18.6
1870-07-03,1870,25.8
1870-07-04,1870,23.9
1870-07-05,1870,23.9
1870-07-06,1870,21.9
1870-07-07,1870,16.9
1870-07-08,1870,18.6
1870-07-09,1870,25
1870-07-10,1870,23.1
1870-07-11,1870,22.2
1870-07-12,1870,23.6
1870-07-14,1870,20.3
1870-07-15,1870,23.3
1870-07-16,1870,26.4
1870-07-17,1870,24.7
1870-07-18,1870,27.5
1870-07-19,1870,26.4
1870-07-20,1870,24.7
1870-07-21,1870,23.9
1870-07-22,1870,27.2
1870-07-23,1870,29.7
1870-07-24,1870,25.3
1870-07-26,1870,29.2
1870-07-27,1870,25
1870-07-28,1870,22.8
1870-07-29,1870,17.2
1870-07-30,1870,20.3
1870-07-31,1870,25
1870-08-01,1870,25.3
1870-08-02,1870,25.8
1870-08-03,1870,23.1
1870-08-04,1870,26.1
1870-08-05,1870,22.5
1870-08-07,1870,16.4
1870-08-08,1870,19.7
1870-08-09,1870,22.2
1870-08-10,1870,20.8
1870-08-11,1870,22.5
1870-08-12,1870,16.1
1870-08-13,1870,18.3
1870-08-14,1870,20.3
1870-08-15,1870,20.6
1870-08-16,1870,22.2
1870-08-17,1870,25
1870-08-18,1870,24.7
1870-08-20,1870,16.7
1870-08-21,1870,19.2
1870-08-22,1870,21.7
1870-08-23,1870,23.9
1870-08-24,1870,26.4
1870-08-25,1870,17.2
1870-08-26,1870,18.3
1870-08-27,1870,18.9
1870-08-28,1870,24.2
1870-08-29,1870,17.5
1870-08-30,1870,20
1870-09-01,1870,19.7
1870-09-02,1870,17.2
1870-09-03,1870,14.2
1870-09-04,1870,16.1
1870-09-05,1870,15.6
1870-09-06,1870,21.4
1870-09-07,1870,24.7
1870-09-08,1870,20.3
1870-09-09,1870,18.9
1870-09-10,1870,19.2
1870-09-11,1870,17.5
1870-09-13,1870,18.9
1870-09-14,1870,19.7
1870-09-15,1870,19.7
1870-09-16,1870,18.1
1870-09-17,1870,18.1
1870-09-18,1870,17.2
1870-09-19,1870,16.9
1870-09-20,1870,17.8
1870-09-21,1870,19.7
1870-09-23,1870,18.6
1870-09-24,1870,16.9
1870-09-25,1870,18.3
1870-09-26,1870,18.9
1870-09-27,1870,19.4
1870-09-28,1870,18.3
1870-09-29,1870,18.3
1870-09-30,1870,18.3
1870-10-01,1870,17.8
1870-10-02,1870,16.7
1870-10-03,1870,13.3
1870-10-05,1870,12.2
1870-10-06,1870,11.9
1870-10-07,1870,14.7
1870-10-08,1870,15.3
1870-10-09,1870,13.6
1870-10-10,1870,13.3
1870-10-11,1870,9.2
1870-10-12,1870,8.3
1870-10-13,1870,9.4
1870-10-14,1870,12.8
1870-10-15,1870,11.1
1870-10-17,1870,6.1
1870-10-18,1870,5
1870-10-19,1870,7.8
1869-01-01,1869,-5
1869-01-02,1869,-4.4
1869-01-03,1869,0.8
1869-01-04,1869,-1.9
1869-01-05,1869,-5.8
1869-01-06,1869,1.1
1869-01-07,1869,2.2
1869-01-08,1869,-2.5
1869-01-09,1869,-8.9
1869-01-10,1869,-14.2
1869-01-11,1869,-17.8
1869-01-12,1869,-10.3
1869-01-13,1869,-0.3
1869-01-14,1869,-3.1
1869-01-15,1869,-4.4
1869-01-16,1869,-5.8
1869-01-17,1869,-5.8
1869-01-18,1869,-4.7
1869-01-19,1869,-5.3
1869-01-20,1869,-2.5
1869-01-22,1869,-5
1869-01-23,1869,-2.5
1869-01-24,1869,-5.8
1869-01-25,1869,-17.2
1869-01-26,1869,-13.1
1869-01-27,1869,-2.5
1869-01-28,1869,-0.6
1869-01-29,1869,0.3
1869-01-30,1869,-9.7
1869-01-31,1869,-10.6
1869-02-01,1869,-2.8
1869-02-02,1869,-1.1
1869-02-03,1869,-6.7
1869-02-04,1869,-13.9
1869-02-05,1869,-11.9
1869-02-06,1869,-4.4
1869-02-07,1869,-2.8
1869-02-08,1869,-0.8
1869-02-09,1869,1.1
1869-02-10,1869,1.1
1869-02-11,1869,0.8
1869-02-12,1869,7.2
1869-02-13,1869,0.8
1869-02-14,1869,0.6
1869-02-15,1869,-3.3
1869-02-16,1869,-2.8
1869-02-17,1869,-1.1
1869-02-18,1869,-1.9
1869-02-19,1869,-6.1
1869-02-20,1869,-7.2
1869-02-21,1869,-10.8
1869-02-22,1869,-13.1
1869-02-23,1869,-12.5
1869-02-24,1869,-11.9
1869-02-26,1869,-13.3
1869-02-27,1869,-14.4
1869-02-28,1869,-11.7
1869-03-01,1869,-5.6
1869-03-02,1869,-2.5
1869-03-03,1869,-5.3
1869-03-04,1869,-20
1869-03-05,1869,-14.4
1869-03-06,1869,-18.3
1869-03-07,1869,-8.1
1869-03-08,1869,-0.6
1869-03-09,1869,1.9
1869-03-10,1869,-11.7
1869-03-11,1869,-12.5
1869-03-12,1869,-6.9
1869-03-13,1869,-7.5
1869-03-14,1869,-8.1
1869-03-15,1869,-12.2
1869-03-16,1869,-13.6
1869-03-17,1869,-8.3
1869-03-18,1869,-2.2
1869-03-19,1869,0.8
1869-03-20,1869,0.6
1869-03-21,1869,-1.4
1869-03-22,1869,-1.4
1869-03-23,1869,3.3
1869-03-24,1869,3.6
1869-03-25,1869,5.8
1869-03-26,1869,3.9
1869-03-27,1869,6.1
1869-03-28,1869,9.4
1869-03-29,1869,10.3
1869-03-30,1869,3.6
1869-04-01,1869,-4.7
1869-04-02,1869,-6.9
1869-04-03,1869,-4.7
1869-04-04,1869,0.8
1869-04-05,1869,4.7
1869-04-06,1869,3.3
1869-04-07,1869,6.1
1869-04-08,1869,5.3
1869-04-09,1869,5.3
1869-04-10,1869,1.4
1869-04-11,1869,1.7
1869-04-12,1869,0.8
1869-04-13,1869,-0.8
1869-04-14,1869,3.3
1869-04-16,1869,5.6
1869-04-17,1869,11.7
1869-04-18,1869,11.9
1869-04-19,1869,10.3
1869-04-20,1869,3.6
1869-04-21,1869,7.8
1869-04-22,1869,9.4
1869-04-23,1869,9.2
1869-04-24,1869,7.2
1869-04-25,1869,11.4
1869-04-26,1869,8.3
1869-04-28,1869,11.9
1869-04-29,1869,8.9
1869-04-30,1869,6.4
1869-05-01,1869,7.2
1869-05-02,1869,9.7
1869-05-03,1869,11.4
1869-05-04,1869,17.2
1869-05-05,1869,8.6
1869-05-06,1869,10
1869-05-07,1869,9.4
1869-05-09,1869,17.8
1869-05-10,1869,20
1869-05-11,1869,16.1
1869-05-12,1869,10
1869-05-13,1869,7.8
