date,latitude,site,size,air_temp,air_temp_sd,water_temp,water_temp_sd,name
2016-07-24,30,GTM,12.43,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,14.18,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,14.52,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.94,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.45,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.99,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,10.32,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,11.19,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.68,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,14.55,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,14.92,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,13.48,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,13.76,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,13.1,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,13.56,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,13.51,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.12,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,14.33,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.52,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.03,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,11.84,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,7.55,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,12.59,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,10.05,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,13,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,11.29,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,11.58,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-24,30,GTM,7.81,21.792,6.391,24.502,6.121,Guana Tolomoto Matanzas NERR
2016-07-26,31.4,SI,9.26,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,12.58,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.51,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,8.09,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.96,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.55,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,7.28,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,12.66,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,6.64,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.56,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.62,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,11.11,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,13.39,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,7.65,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.33,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,6.91,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.45,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,7.96,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,8.86,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,13.63,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.55,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.75,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.09,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.09,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.08,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.73,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,8.88,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,11.42,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,10.86,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-26,31.4,SI,9.18,20.83,7.414,22.064,6.495,Sapelo Island NERR
2016-07-28,33.3,NIB,14.53,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,17.29,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,14.69,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,12.57,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,12.89,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,15.14,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,16.99,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,14.01,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,15.32,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,8.52,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,11.98,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,13.71,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,8.84,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,10.77,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,12.71,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,15.31,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,10.55,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
2016-07-28,33.3,NIB,12.87,18.967,7.99,21.144,7.164,North Inlet Winyah Bay NERR
