site	richness	productivity
site1	23	121.9
site1	26	158.1
site1	24	165
site1	25	165.3
site1	39	189.6
site1	21	147.7
site1	29	168.1
site1	25	164.8
site1	38	164.6
site1	27	158.1
site1	31	154.1
site1	32	180.4
site1	27	133.9
site1	33	145.3
site1	24	132.6
site1	21	149.8
site1	25	155.3
site1	28	145.6
site1	13	139.3
site1	27	164.6
site1	27	120.5
site1	24	136.6
site1	27	164.4
site1	28	141.3
site1	23	137.1
site1	27	135
site1	18	123.9
site1	23	152.6
site1	21	170.2
site1	17	147.9
site1	20	149.6
site1	29	168.6
site1	25	153.5
site1	19	152.7
site1	24	172.1
site1	18	152.8
site1	20	130.3
site1	32	161.9
site1	26	143.7
site1	25	137.6
site1	31	141.2
site1	23	152.8
site1	33	189
site1	30	148.1
site1	25	157.9
site1	21	158.1
site1	35	153.5
site1	29	158
site1	29	149.1
site1	26	154.2
site1	24	152.7
site1	19	119.1
site1	26	144.1
site1	17	133.1
site1	20	149.3
site1	23	125.7
site1	23	145.5
site1	19	149.9
site1	26	145.4
site1	29	151.5
site1	15	129.4
site1	28	140
site1	29	134.2
site1	20	121.6
site1	21	134.6
site1	24	168.3
site1	27	135.7
site1	25	151.2
site1	28	138.1
site1	19	128.9
site1	22	158.6
site1	18	141.9
site1	27	159.5
site1	30	166.6
site1	18	124.8
site1	31	156.7
site1	28	155.2
site1	25	163.7
site1	22	151.4
site1	26	137
site1	24	151.9
site1	19	120.9
site1	28	166.7
site1	17	123.5
site1	31	144.8
site1	21	146.8
site1	16	123.3
site1	22	137.2
site1	20	136
site1	20	130.9
site1	23	120.8
site1	28	147.8
site1	31	175.6
site1	29	151.6
site1	34	169.9
site1	31	185.8
site1	22	119.3
site1	23	138.9
site1	20	128.2
site1	21	130.6
site1	24	143.3
site1	27	167.3
site1	23	125.8
site1	39	168.8
site1	23	119.5
site1	24	130.1
site1	31	167.9
site1	26	145.7
site1	32	148.6
site1	21	130.1
site1	23	148.9
site1	25	142
site1	33	180.3
site1	22	137.4
site1	34	172.3
site1	30	150.8
site1	25	164.6
site1	14	129.7
site1	19	146.5
site1	26	149.3
site1	33	164.6
site1	27	156.3
site1	29	154.6
site1	26	139.1
site1	32	161.3
site1	26	167.2
site1	32	152.6
site1	26	138.2
site1	17	127
site1	29	165
site1	23	159.3
site1	20	138.4
site1	20	143.6
site1	23	125.7
site1	19	137.1
site1	23	156.8
site1	21	115.2
site1	24	148.1
site1	19	125.4
site1	28	138.4
site1	22	144
site1	25	152.9
site1	29	151.8
site1	25	161.1
site1	24	140.5
site1	23	152.9
site1	26	151
site1	30	156.4
site1	26	163.3
site1	22	163.2
site1	28	131.5
site1	20	142.1
site1	22	159.7
site1	24	154.9
site1	26	157.3
site1	24	143.1
site1	22	130.8
site1	23	160.4
site1	22	136.4
site1	22	137.6
site1	26	129.5
site1	24	156.7
site1	30	149.1
site1	33	162.4
site1	28	160.8
site1	16	133.6
site1	28	171
site1	26	161
site1	36	148.6
site1	21	162.1
site1	26	137.6
site1	21	126
site1	18	123.6
site1	26	142.6
site1	33	163.3
site1	33	135.9
site1	29	169.1
site1	25	135.1
site1	29	150.6
site1	20	122.5
site1	26	148
site1	22	147.8
site1	22	152.5
site1	24	137.2
site1	26	152.8
site1	16	128.1
site1	27	152.6
site1	28	133
site1	29	162.4
site1	30	151.3
site1	25	134.5
site1	17	134.9
site1	32	155
site1	18	155.7
site1	23	143.8
site1	21	132.2
site1	26	145.2
site1	25	143.5
site1	20	133.3
site1	23	156
site2	49	239.8
site2	32	189.3
site2	34	197.3
site2	33	194.4
site2	24	181.3
site2	30	197
site2	37	197.8
site2	30	197.3
site2	44	213.3
site2	50	243.6
site2	47	229.7
site2	42	215.4
site2	15	171.9
site2	30	190.9
site2	44	201
site2	22	185.4
site2	43	219.1
site2	35	188.8
site2	45	217.7
site2	36	202.2
site2	35	201.8
site2	29	193.1
site2	29	193.9
site2	22	177.9
site2	40	204.3
site2	36	207.4
site2	28	195.3
site2	35	212.8
site2	34	199.5
site2	39	209
site2	22	187.2
site2	48	226.2
site2	42	227.2
site2	38	207.9
site2	36	206.9
site2	32	193.3
site2	43	207.8
site2	39	205
site2	16	172.1
site2	22	180.4
site2	54	233.4
site2	31	192.8
site2	44	228.6
site2	34	199.9
site2	38	207
site2	46	223.5
site2	22	184.1
site2	34	199.9
site2	28	194
site2	41	219.3
site2	24	188.4
site2	38	203.8
site2	32	203.2
site2	38	198.8
site2	33	201.8
site2	43	208.2
site2	40	206.9
site2	25	185.3
site2	42	222.5
site2	25	187.3
site2	26	189.9
site2	25	187.5
site2	36	199.3
site2	42	223.6
site2	46	208.5
site2	28	197.5
site2	43	213
site2	30	188.4
site2	20	180
site2	29	189.7
site2	29	192.8
site2	32	198.8
site2	45	239.8
site2	44	202.4
site2	40	200.8
site2	46	208.7
site2	32	202
site2	39	222.6
site2	32	205.5
site2	20	182
site2	34	206.6
site2	35	207
site2	28	193.9
site2	30	197
site2	32	199.9
site2	30	198.7
site2	50	222.5
site2	46	214.9
site2	38	203.7
site2	39	214.9
site2	35	211.3
site2	46	219.3
site2	20	180
site2	24	183.9
site2	26	191
site2	42	210.2
site2	35	204.8
site2	20	180.2
site2	28	193.7
site2	45	213.4
site2	37	207.9
site2	34	199.9
site2	36	218.3
site2	32	193.8
site2	46	210.9
site2	38	198.6
site2	40	206.9
site2	45	228.4
site2	29	191.8
site2	34	199.2
site2	32	197
site2	40	210.4
site2	35	193.9
site2	33	203.2
site2	28	192.5
site2	49	214.1
site2	32	197.7
site2	32	201.7
site2	43	205.2
site2	31	201.2
site2	31	206.4
site2	33	193.8
site2	32	195.4
site2	33	196.5
site2	27	190.5
site2	32	197.9
site2	29	196.8
site2	38	190.9
site2	38	213.8
site2	31	200
site2	34	207
site2	37	197.2
site2	34	206.5
site2	52	203.6
site2	35	204.7
site2	40	213.1
site2	52	226.9
site2	41	221.8
site2	31	184.1
site2	50	223.5
site2	25	177.1
site2	31	193
site2	39	207.8
site2	26	187.2
site2	34	195.1
site2	38	207.1
site2	49	236.7
site2	29	196.7
site2	34	206.5
site2	36	191.6
site2	39	196.6
site2	46	218.6
site2	26	187.4
site2	28	195.6
site2	45	228.8
site2	36	191.2
site2	28	193.9
site2	25	199.3
site2	40	213
site2	37	213
site2	29	190.8
site2	38	200
site2	54	222.9
site2	33	198.9
site2	35	197.1
site2	28	195.4
site2	38	202.6
site2	39	213.5
site2	38	197.1
site2	34	201.6
site2	29	192.3
site2	40	209.2
site2	38	209
site2	32	196.2
site2	53	231.6
site2	42	201.3
site2	26	190.4
site2	43	212
site2	38	199.3
site2	52	222.9
site2	27	190.6
site2	52	240.3
site2	22	184.4
site2	30	191.8
site2	42	212.2
