site,bromeliad,latitude,logmaxvolume,Odonatepresence
Pitilla,97-4,10.983333,2.25527250510331,1
Pitilla,97-5,10.983333,2.19033169817029,0
Pitilla,97-6,10.983333,2.35602585719312,1
Pitilla,97-7,10.983333,2.07918124604762,1
Pitilla,97-8,10.983333,2.01283722470517,1
Pitilla,97-9,10.983333,1.79657433321043,0
Pitilla,97-10,10.983333,0.176091259055681,0
Pitilla,97-11,10.983333,0,0
Pitilla,97-12,10.983333,-0.154901959985743,0
Pitilla,97-13,10.983333,-0.397940008672038,0
Pitilla,97-14,10.983333,1.17609125905568,0
Pitilla,97-15,10.983333,1.32221929473392,0
Pitilla,97-16,10.983333,2.7160033436348,1
Pitilla,97-17,10.983333,1.46239799789896,0
Pitilla,97-18,10.983333,2.65321251377534,1
Pitilla,97-19,10.983333,1.32221929473392,0
Pitilla,97-20,10.983333,1.07918124604762,0
Pitilla,97-21,10.983333,1.17609125905568,0
Pitilla,97-22,10.983333,2.97772360528885,1
Pitilla,97-23,10.983333,3.1846914308176,1
Pitilla,97-24,10.983333,2.74036268949424,1
Pitilla,97-25,10.983333,1.93449845124357,0
Pitilla,00-1,10.983333,2.13987908640124,0
Pitilla,00-2,10.983333,2.44715803134222,0
Pitilla,00-3,10.983333,2.57749179983723,1
Pitilla,00-4,10.983333,1.38021124171161,0
Pitilla,00-5,10.983333,2.05690485133647,0
Pitilla,00-6,10.983333,2.44715803134222,0
Pitilla,00-7,10.983333,2.71264970162721,1
Pitilla,00-8,10.983333,2.09342168516224,0
Pitilla,00-9,10.983333,1.70757017609794,0
Pitilla,00-10,10.983333,1.30102999566398,0
Pitilla,00-16,10.983333,1.86923171973098,0
Pitilla,00-18,10.983333,2.29666519026153,0
Pitilla,00-21,10.983333,1.56820172406699,0
Pitilla,00-23,10.983333,1.74036268949424,0
Pitilla,00-25,10.983333,1.80617997398389,0
Pitilla,00-29,10.983333,2,1
Pitilla,00-31,10.983333,1.98677173426624,0
Pitilla,00-33,10.983333,2.55388302664387,1
Pitilla,00-34,10.983333,2.77158748088126,1
Pitilla,00-42,10.983333,1.96378782734556,0
Pitilla,02-2,10.983333,3.10380372095596,1
Pitilla,02-3,10.983333,2.39794000867204,1
Pitilla,02-4,10.983333,2.47421626407626,1
Pitilla,02-5,10.983333,2.31386722036915,1
Pitilla,02-6,10.983333,2.74663419893758,1
Pitilla,02-7,10.983333,1.96378782734556,0
Pitilla,02-8,10.983333,2.66464197555613,1
Pitilla,02-9,10.983333,2.45024910831936,1
Pitilla,02-13,10.983333,3.13097669160562,1
Pitilla,02-15,10.983333,2.8481891169914,1
Pitilla,02-16,10.983333,1.84509804001426,0
Pitilla,02-17,10.983333,1.69897000433602,0
Pitilla,02-18,10.983333,1.43136376415899,0
Pitilla,02-19,10.983333,1.25527250510331,0
Pitilla,02-20,10.983333,1.51851393987789,0
Pitilla,02-21,10.983333,1.64345267648619,0
Pitilla,02-22,10.983333,3.27276958655176,1
Pitilla,02-23,10.983333,3.78646747674028,1
Pitilla,B6_10_2,10.983333,2.23552844690755,0
Pitilla,B6_10_4,10.983333,2.57403126772772,0
Pitilla,B6_10_5,10.983333,2.29003461136252,0
Pitilla,B6_10_6,10.983333,2.75587485567249,1
Pitilla,B6_10_7,10.983333,2.88081359228079,0
Pitilla,B6_10_8,10.983333,2.92427928606188,0
Pitilla,B6_10_9,10.983333,2.62838893005031,0
Pitilla,B7_10_1,10.983333,3.50650503240487,1
Pitilla,B8_10_1,10.983333,3.04497367811075,1
Pitilla,B9_10_1,10.983333,2.64933485871214,1
Pitilla,B9_10_2,10.983333,2.64443858946784,1
Pitilla,B9_10_3,10.983333,2.80617997398389,1
Pitilla,B9_10_4,10.983333,2.53402610605613,1
Pitilla,B9_10_5,10.983333,2.87157293554588,1
Pitilla,B9_10_6,10.983333,2.69897000433602,1
Pitilla,B11_10_1,10.983333,2.70070371714502,1
Pitilla,B11_10_2,10.983333,2.70329137811866,1
Pitilla,B11_10_3,10.983333,2.39093510710338,0
Pitilla,B11_10_4,10.983333,2.23044892137827,0
Pitilla,B11_10_5,10.983333,2.8208579894397,1
Pitilla,B11_10_6,10.983333,1.9731278535997,0
Pitilla,B11_10_7,10.983333,1.70757017609794,1
Pitilla,B15_10_1,10.983333,2.77378644498119,0
Pitilla,B15_10_2,10.983333,2.38738982633873,0
Pitilla,B15_10_3,10.983333,2.59988307207369,0
Pitilla,B19_10_1,10.983333,2.13987908640124,1
Pitilla,B19_10_2,10.983333,2.98136550907854,0
Pitilla,B20_10_1,10.983333,2.43933269383026,1
Pitilla,B20_10_2,10.983333,2.60205999132796,1
Pitilla,B21_10_1,10.983333,3.41497334797082,1
Pitilla,B21_10_2,10.983333,3.14612803567824,1
Pitilla,B24_10_1,10.983333,2.71432975974523,1
Pitilla,B24_10_2,10.983333,2.61278385671974,1
Pitilla,B24_10_3,10.983333,2.87157293554588,1
Pitilla,B24_10_4,10.983333,2.58883172559421,1
Pitilla,B4_11_2,10.983333,2.31806333496276,0
Pitilla,B4_11_3,10.983333,2.23299611039215,0
Pitilla,B4_11_4,10.983333,2.81954393554187,1
Pitilla,B6_11_1,10.983333,1.6232492903979,0
Pitilla,J10.1,10.983333,2.81291335664286,1
Pitilla,J11.1,10.983333,3.09691001300806,1
Pitilla,J12.1,10.983333,2.46239799789896,1
Pitilla,J13.1,10.983333,2.47712125471966,1
Pitilla,J14.1,10.983333,2.44715803134222,1
Pitilla,J15.1,10.983333,2.95424250943932,1
Pitilla,J16.1,10.983333,2.46239799789896,1
Pitilla,J17.1,10.983333,2.17609125905568,0
Pitilla,J18.1,10.983333,2.56820172406699,0
Pitilla,J19.1,10.983333,2.69897000433602,0
Pitilla,J20.1,10.983333,2.27875360095283,1
Pitilla,J21.1,10.983333,2.46239799789896,1
Pitilla,J22.1,10.983333,2.11394335230684,1
Pitilla,J23.1,10.983333,1.60205999132796,0
Pitilla,J24.1,10.983333,2.14612803567824,0
Pitilla,J25.1,10.983333,2.11394335230684,0
Pitilla,J26.1,10.983333,1.84509804001426,0
Pitilla,J27.1,10.983333,1.84509804001426,0
Cardoso,Brom.1,-25.071556,2.52504480703685,1
Cardoso,Brom.102,-25.071556,2.72015930340596,1
Cardoso,Brom.16,-25.071556,2.61278385671974,1
Cardoso,Brom.3,-25.071556,2.79588001734408,1
Cardoso,Brom.4,-25.071556,3.10380372095596,1
Cardoso,Brom.40,-25.071556,3.21085336531489,1
Cardoso,Brom.46,-25.071556,1.92941892571429,1
Cardoso,Brom.48,-25.071556,3.45331834004704,1
Cardoso,Brom.53,-25.071556,0.903089986991944,1
Cardoso,Brom.64,-25.071556,2.43136376415899,1
Cardoso,Brom.7,-25.071556,1.95424250943932,1
Cardoso,Brom.77,-25.071556,3.24551266781415,0
Cardoso,Brom.79,-25.071556,2.90848501887865,1
Cardoso,Brom.82,-25.071556,2.14612803567824,0
Cardoso,Brom.85,-25.071556,2.95904139232109,0
Cardoso,Brom.95,-25.071556,3.13987908640124,0
Cardoso,Brom.A,-25.071556,1.74036268949424,0
Cardoso,Brom.B,-25.071556,1.61278385671974,0
Cardoso,Brom.C,-25.071556,2.19033169817029,1
Cardoso,Brom.D,-25.071556,2.10380372095596,1
Cardoso,Brom.E,-25.071556,1.56820172406699,0
Cardoso,Brom.F,-25.071556,1.85733249643127,1
Cardoso,Brom.G,-25.071556,1.7160033436348,0
Cardoso,Brom.H,-25.071556,1.32221929473392,0
Cardoso,Brom.I,-25.071556,1.27875360095283,0
Cardoso,Open1,-25.071556,2.92941892571429,0
Cardoso,X1AA,-25.071556,3.12057393120585,1
Cardoso,X2AA,-25.071556,3.50310943667137,1
Cardoso,X3AA,-25.071556,2.82930377283102,1
Cardoso,X4AA,-25.071556,2.83569057149243,1
Cardoso,X5AA,-25.071556,2.51851393987789,1
Cardoso,OR1,-25.071556,3.07003786660776,1
Cardoso,OR2,-25.071556,3.1832698436828,1
Cardoso,OR3,-25.071556,3.25527250510331,1
Cardoso,OR4,-25.071556,3.24919835739111,1
Cardoso,OR5,-25.071556,3.23044892137827,1
Cardoso,OR6,-25.071556,3.32014628611105,1
Cardoso,OR7,-25.071556,3.27646180417324,1
Cardoso,OR8,-25.071556,3.20682587603185,1
Cardoso,OR9,-25.071556,3.27875360095283,1
Cardoso,OR10,-25.071556,3.35218251811136,1
Picinguaba,P1,-23.35,2.48985829777841,1
Picinguaba,P2,-23.35,2.5479700263097,1
Picinguaba,P3,-23.35,2.39870900618789,0
Picinguaba,P4,-23.35,3.0693191846587,1
Picinguaba,P5,-23.35,2.45367956957957,1
